source,target,type
R-HSA-8982491,R-HSA-9663891,h
R-HSA-450531,R-HSA-9663891,h
R-HSA-450408,R-HSA-9663891,h
R-HSA-927802,R-HSA-9663891,h
R-HSA-975956,R-HSA-9663891,h
R-HSA-975957,R-HSA-9663891,h
R-HSA-977225,R-HSA-9663891,h
R-HSA-8852135,R-HSA-9663891,h
R-HSA-156842,R-HSA-9663891,h
R-HSA-1799339,R-HSA-9663891,h
R-HSA-72613,R-HSA-9663891,h
R-HSA-72764,R-HSA-9663891,h
R-HSA-169911,R-HSA-9663891,h
R-HSA-9033241,R-HSA-9663891,h
R-HSA-73887,R-HSA-9663891,h
R-HSA-5687128,R-HSA-9663891,h
R-HSA-195253,R-HSA-9663891,h
R-HSA-5632684,R-HSA-9663891,h
R-HSA-5358346,R-HSA-9663891,h
R-HSA-917937,R-HSA-9663891,h
R-HSA-174824,R-HSA-9663891,h
R-HSA-8964043,R-HSA-9663891,h
R-HSA-382556,R-HSA-9663891,h
R-HSA-8856828,R-HSA-9663891,h
R-HSA-917729,R-HSA-9663891,h
R-HSA-72203,R-HSA-9663891,h
R-HSA-8876725,R-HSA-9663891,h
R-HSA-112310,R-HSA-9663891,h
R-HSA-163685,R-HSA-9663891,h
R-HSA-163680,R-HSA-9663891,h
R-HSA-1592230,R-HSA-9663891,h
R-HSA-2151209,R-HSA-9663891,h
R-HSA-165159,R-HSA-9663891,h
R-HSA-380972,R-HSA-9663891,h
R-HSA-71406,R-HSA-9663891,h
R-HSA-1268020,R-HSA-9663891,h
R-HSA-8949215,R-HSA-9663891,h
R-HSA-5619115,R-HSA-9663891,h
R-HSA-5688426,R-HSA-9663891,h
R-HSA-199991,R-HSA-9663891,h
R-HSA-69620,R-HSA-9663891,h
R-HSA-69618,R-HSA-9663891,h
R-HSA-9609646,R-HSA-9663891,h
R-HSA-2132295,R-HSA-9663891,h
R-HSA-446203,R-HSA-9663891,h
R-HSA-1852241,R-HSA-9663891,h
R-HSA-109581,R-HSA-9663891,h
R-HSA-109606,R-HSA-9663891,h
R-HSA-6811442,R-HSA-9663891,h
R-HSA-199977,R-HSA-9663891,h
R-HSA-983231,R-HSA-9663891,h
R-HSA-9715370,R-HSA-9663891,h
