,node,aPDist,pIn_Degree,aEigenvector_Centrality,pDegree_Centrality,aDegree,aIn_Degree,aBetweenness_Centrality,pDegree,aDegree_Centrality,pCloseness_Centrality,pPagerank,pOut_Degree,aCloseness_Centrality,pBetweenness_Centrality,aOut_Degree,pEigenvector_Centrality,aPagerank,hallmark
48,ACR,12.512900000001158,1,5.0194376244601505e-06,0.00015862944162436498,1.0,1.0,0.0,1,0.00016644474034620502,0.132810905506166,4.13359797519794e-05,0,0.113574121877479,0.0,0.0,9.19225257903749e-10,5.928854508200389e-05,0
49,ACRC,12.512900000001158,1,0.000299877158778767,0.00015862944162436498,1.0,1.0,0.0,1,0.00016644474034620502,0.16451035285989699,3.70904717665221e-05,0,0.14316928658879902,0.0,0.0,1.2733922590051804e-07,5.42302094702054e-05,0
50,ACSL1,12.512900000001158,8,0.00334271963273189,0.00174492385786802,5.0,5.0,0.0,11,0.000832223701731025,0.195423673308518,0.000320556113898744,3,0.164334313867031,3.9519548600310204e-08,0.0,5.01438712380556e-06,6.17237847520114e-05,0
51,ACSL3,12.512900000001158,8,0.00334271963273189,0.00174492385786802,5.0,5.0,0.0,11,0.000832223701731025,0.195423673308518,0.000320556113898744,3,0.164334313867031,3.9519548600310204e-08,0.0,5.01438712380556e-06,6.17237847520114e-05,0
52,ACSL4,12.512900000001158,8,0.00334271963273189,0.00174492385786802,5.0,5.0,0.0,11,0.000832223701731025,0.195423673308518,0.000320556113898744,3,0.164334313867031,3.9519548600310204e-08,0.0,5.01438712380556e-06,6.17237847520114e-05,528
53,ACSL5,12.512900000001158,8,0.00334271963273189,0.00174492385786802,5.0,5.0,0.0,11,0.000832223701731025,0.195423673308518,0.000320556113898744,3,0.164334313867031,3.9519548600310204e-08,0.0,5.01438712380556e-06,6.17237847520114e-05,128
54,ACSL6,12.512900000001158,8,0.00334271963273189,0.00174492385786802,5.0,5.0,0.0,11,0.000832223701731025,0.195423673308518,0.000320556113898744,3,0.164334313867031,3.9519548600310204e-08,0.0,5.01438712380556e-06,6.17237847520114e-05,0
55,ACSM3,11.753628507239478,0,2.71956184904173e-20,0.00015862944162436498,1.0,0.0,0.0,1,0.00016644474034620502,0.0,3.38707495131675e-05,1,0.0,0.0,1.0,2.6598156925935396e-60,4.81339440286171e-05,32
56,ACSS1,12.512900000001158,1,3.5354304037542395e-19,0.00015862944162436498,1.0,1.0,0.0,1,0.00016644474034620502,0.00015862944162436498,4.8277225721611296e-05,0,0.00016644474034620502,0.0,0.0,8.511410216299318e-59,6.861294374529102e-05,0
57,ACSS2,11.94839058079581,2,0.000101388424270249,0.000475888324873096,3.0,2.0,0.00011872628003786101,3,0.0004993342210386152,0.165790886548411,5.77044978183224e-05,1,0.13325181114504597,0.000124088724253611,1.0,5.37282230727783e-07,8.470540386727801e-05,0
58,ACTA1,10.639854368447633,32,0.0142569166467748,0.0092005076142132,20.0,13.0,0.000424353534966192,58,0.0033288948069241,0.237573356290844,0.0004130631799978871,26,0.19356905128895802,0.000353411105464065,7.0,9.02610111158948e-05,0.00036092393023342,528
59,ACTA2,12.512900000001158,3,0.00283838265466515,0.000475888324873096,3.0,3.0,0.0,3,0.0004993342210386152,0.192085404797059,8.27231442537526e-05,0,0.165270781656387,0.0,0.0,2.34980986726695e-06,0.00014300181061494,32
60,ACTB,10.209085172241936,90,0.0135471749275896,0.026491116751268994,39.0,26.0,0.0020622690304825803,167,0.0064913448735019995,0.236713149931661,0.00168327789885454,77,0.187696494403727,0.007352827641895791,13.0,0.000184799462160413,0.000567868986841578,21
61,ACTG1,11.747696422033979,73,0.0130665655223834,0.0198286802030457,25.0,24.0,4.3858766698229e-05,125,0.0041611185086551285,0.22949149524265602,0.00138904022377342,52,0.186948428665161,0.00103319636306723,1.0,0.000164513126993865,0.0005219294587794098,21
